was succesful, reward, actual steps, target steps, runs completed
0,40,150,1024,1
0,-184,127,1024,2
0,-168,149,1024,3
0,-192,112,1024,4
0,-248,44,1024,5
1,1166,1025,1024,6
1,1166,1025,1024,7
0,-104,27,1024,8
0,64,185,1024,9
1,1166,1025,1024,10
0,-176,134,1024,11
1,1166,1025,1024,12
0,72,196,1024,13
0,-32,120,1024,14
0,-24,128,1024,15
1,1166,1025,1024,16
1,1166,1025,1024,17
0,-216,85,1024,18
1,1166,1025,1024,19
0,-56,86,1024,20
0,-232,66,1024,21
1,1166,1025,1024,22
0,-192,115,1024,23
0,-48,96,1024,24
0,72,191,1024,25
1,1166,1025,1024,26
0,-200,108,1024,27
1,1166,1025,1024,28
1,1166,1025,1024,29
1,1166,1025,1024,30
1,1166,1025,1024,31
0,-232,63,1024,32
0,-32,112,1024,33
0,-232,69,1024,34
0,-192,117,1024,35
0,-40,109,1024,36
0,48,165,1024,37
0,-264,29,1024,38
1,1166,1025,1024,39
0,80,201,1024,40
0,48,169,1024,41
0,-208,91,1024,42
1,1166,1025,1024,43
0,-240,50,1024,44
1,1166,1025,1024,45
0,-200,100,1024,46
0,-208,93,1024,47
0,-216,80,1024,48
0,-56,90,1024,49
0,152,299,1024,50
0,-216,80,1024,51
1,1166,1025,1024,52
0,-240,53,1024,53
0,-48,92,1024,54
0,-192,114,1024,55
1,1166,1025,1024,56
0,-72,63,1024,57
1,1166,1025,1024,58
0,-224,71,1024,59
0,-200,102,1024,60
0,-40,110,1024,61
0,-184,127,1024,62
1,1166,1025,1024,63
0,160,306,1024,64
0,-120,8,1024,65
0,-48,91,1024,66
1,1166,1025,1024,67
1,1166,1025,1024,68
0,104,238,1024,69
0,-32,117,1024,70
1,1166,1025,1024,71
0,-216,81,1024,72
1,1166,1025,1024,73
0,-72,64,1024,74
0,88,216,1024,75
0,-88,49,1024,76
0,-208,96,1024,77
1,1166,1025,1024,78
0,88,217,1024,79
0,-256,35,1024,80
0,-64,80,1024,81
0,-48,100,1024,82
1,1166,1025,1024,83
1,1166,1025,1024,84
1,1166,1025,1024,85
0,56,175,1024,86
0,-56,90,1024,87
0,-240,56,1024,88
0,-176,131,1024,89
0,-216,84,1024,90
0,-240,56,1024,91
1,1166,1025,1024,92
0,-240,52,1024,93
0,88,212,1024,94
1,1166,1025,1024,95
1,1166,1025,1024,96
0,-224,73,1024,97
0,-232,66,1024,98
0,-208,93,1024,99
1,1166,1025,1024,100
0,-248,42,1024,101
0,-208,90,1024,102
0,-224,73,1024,103
0,-64,71,1024,104
1,1166,1025,1024,105
0,-48,93,1024,106
0,-248,46,1024,107
0,-240,57,1024,108
0,-224,76,1024,109
0,-200,106,1024,110
1,1166,1025,1024,111
0,-232,66,1024,112
1,1166,1025,1024,113
0,40,158,1024,114
1,1166,1025,1024,115
1,1166,1025,1024,116
1,1166,1025,1024,117
1,1166,1025,1024,118
0,-56,84,1024,119
0,-168,149,1024,120
1,1166,1025,1024,121
1,1166,1025,1024,122
0,-232,69,1024,123
