planet_1_x_pos,planet_1_y_pos,planet_1_x_mom,planet_1_y_mom
0.72239757,-0.007768965,-1.0,-1.0
0.6373082,0.08664929,-1.0,-1.0
0.64017814,0.17371942,-1.0,-1.0
0.8289357,0.05469907,-1.0,-1.0
0.588899,0.18537143,-1.0,-1.0
0.75377303,-0.06716446,-0.98114383,-1.0
0.83922166,-0.0047656503,-1.0,-1.0
0.010981394,-0.021771383,-1.0,-1.0
0.7937624,0.00901753,-1.0,-1.0
0.8289357,0.05469907,-1.0,-1.0
0.6466848,0.17423476,-1.0,-1.0
0.8335675,0.009165437,-1.0,-1.0
0.75377303,-0.06716446,-0.98114383,-1.0
0.8289357,0.05469907,-1.0,-1.0
0.72819257,-0.028106326,-0.9850672,-1.0
0.7870797,0.030776525,-1.0,-1.0
0.8289357,0.05469907,-1.0,-1.0
0.8335675,0.009165437,-1.0,-1.0
0.58237064,0.07175518,-1.0,-1.0
0.5823706,0.071755074,-1.0,-1.0
0.6656889,0.10448773,-1.0,-1.0
0.72552854,0.17159842,-1.0,-1.0
0.8335675,0.009165437,-1.0,-1.0
0.4945516,0.218692,-1.0,-1.0
0.8289357,0.05469907,-1.0,-1.0
0.8335678,0.009165938,-1.0,-1.0
0.7255331,0.17159164,-1.0,-1.0
0.013194436,-0.0018189882,-1.0,-1.0
0.64017993,0.1737185,-1.0,-1.0
0.010979969,-0.021771664,-1.0,-1.0
0.66377133,0.103009425,-1.0,-1.0
0.5497064,0.08931406,-1.0,-1.0
0.8289357,0.05469907,-1.0,-1.0
0.8289357,0.05469907,-1.0,-1.0
0.8335675,0.009165437,-1.0,-1.0
0.8289357,0.05469907,-1.0,-1.0
0.5888,0.18537258,-1.0,-1.0
0.58433753,0.09242909,-1.0,-1.0
0.72819465,-0.028044155,-0.9851706,-1.0
0.5668974,0.15771687,-1.0,-1.0
0.5823706,0.071755074,-1.0,-1.0
0.64018047,0.17371769,-1.0,-1.0
0.8335675,0.009165437,-1.0,-1.0
0.8289357,0.05469907,-1.0,-1.0
0.5888,0.18537258,-1.0,-1.0
0.5823706,0.071755074,-1.0,-1.0
0.5826126,0.07243459,-1.0,-1.0
0.8289357,0.05469907,-1.0,-1.0
0.64017993,0.1737185,-1.0,-1.0
0.8335675,0.009165437,-1.0,-1.0
0.8335675,0.009165437,-1.0,-1.0
0.6402072,0.17368142,-1.0,-1.0
0.8333313,0.009164573,-1.0,-1.0
0.5888,0.18537258,-1.0,-1.0
0.5678527,0.15862711,-1.0,-1.0
0.829262,0.0094359,-1.0,-1.0
0.72819257,-0.028106326,-0.9850672,-1.0
0.5035022,0.20166828,-1.0,-1.0
0.013210231,-0.0018185342,-1.0,-1.0
0.8289357,0.05469907,-1.0,-1.0
0.8335675,0.009165437,-1.0,-1.0
0.8289357,0.05469907,-1.0,-1.0
0.7614976,0.029489968,-1.0,-1.0
0.8289357,0.05469907,-1.0,-1.0
0.5823704,0.071755886,-1.0,-1.0
0.7244353,0.030283356,-1.0,-1.0
0.7281867,-0.028083073,-0.98509467,-1.0
0.8335676,0.009165686,-1.0,-1.0
0.8078631,0.026410636,-0.87360543,-1.0
0.8335654,0.0091647245,-1.0,-1.0
0.8289357,0.05469907,-1.0,-1.0
0.5665357,0.084597446,-1.0,-1.0
0.5980583,0.093000814,-1.0,-1.0
0.82893574,0.054699015,-1.0,-1.0
0.82895005,0.054684274,-1.0,-1.0
0.827255,0.009142243,-1.0,-1.0
0.5663649,0.15721518,-1.0,-1.0
0.8289861,0.054646473,-1.0,-1.0
0.5251881,0.14052755,-1.0,-1.0
0.5823706,0.071755074,-1.0,-1.0
0.6401824,0.17371501,-1.0,-1.0
0.012345009,-0.021761006,-1.0,-1.0
0.80817527,0.026373452,-0.872281,-1.0
0.021893894,0.020461872,-1.0,-1.0
0.58433753,0.09242909,-1.0,-1.0
0.5888,0.18537258,-1.0,-1.0
0.8289357,0.05469907,-1.0,-1.0
0.75377303,-0.06716446,-0.98114383,-1.0
0.4945516,0.218692,-1.0,-1.0
0.64017993,0.1737185,-1.0,-1.0
0.8081752,0.026373463,-0.8722812,-1.0
0.72552806,0.17159852,-1.0,-1.0
0.58326364,0.106391154,-1.0,-1.0
0.8335675,0.009165437,-1.0,-1.0
0.5823706,0.071755074,-1.0,-1.0
0.56643593,0.15728195,-1.0,-1.0
0.64017993,0.1737185,-1.0,-1.0
0.5035023,0.20166993,-1.0,-1.0
0.010979969,-0.021771664,-1.0,-1.0
0.8335675,0.009165437,-1.0,-1.0
0.833072,0.009163465,-1.0,-1.0
0.8335675,0.009165437,-1.0,-1.0
0.49455157,0.21869199,-1.0,-1.0
0.8335675,0.009165437,-1.0,-1.0
0.64017993,0.1737185,-1.0,-1.0
0.5840405,0.07729565,-1.0,-1.0
0.53564715,0.12469235,-1.0,-1.0
0.013194384,-0.0018189882,-1.0,-1.0
0.5823706,0.071755074,-1.0,-1.0
0.8335675,0.009165437,-1.0,-1.0
0.58433753,0.09242909,-1.0,-1.0
0.8335675,0.009165437,-1.0,-1.0
0.5253312,0.14612769,-1.0,-1.0
0.13486935,0.0012969926,-1.0,-1.0
0.64017993,0.1737185,-1.0,-1.0
0.4945516,0.218692,-1.0,-1.0
0.010980245,-0.021771662,-1.0,-1.0
0.8289357,0.05469907,-1.0,-1.0
0.7244367,0.030277228,-1.0,-1.0
0.7244652,0.03020377,-1.0,-1.0
0.8008101,0.027166942,-0.90148425,-1.0
0.5823706,0.071755074,-1.0,-1.0
0.80806476,0.026386661,-0.87275124,-1.0
0.53564626,0.12470063,-1.0,-1.0
0.8289357,0.05469907,-1.0,-1.0
0.83361006,0.009094836,-1.0,-1.0
0.8335675,0.009165437,-1.0,-1.0
0.8289357,0.05469907,-1.0,-1.0
0.71103907,0.059663028,-1.0,-1.0
0.7243942,0.030380057,-1.0,-1.0
0.8335671,0.009165431,-1.0,-1.0
0.64017993,0.1737185,-1.0,-1.0
0.7337693,-0.0142252715,-1.0,-1.0
0.82963955,0.05379387,-1.0,-1.0
0.010979969,-0.021771664,-1.0,-1.0
0.5823706,0.071755074,-1.0,-1.0
0.8289357,0.05469907,-1.0,-1.0
0.83356375,0.009165415,-1.0,-1.0
0.64170796,0.17165512,-1.0,-1.0
0.66635567,0.10351227,-1.0,-1.0
0.63764906,0.08614453,-1.0,-1.0
0.8351324,0.007513958,-1.0,-1.0
0.6656884,0.10449143,-1.0,-1.0
0.58433753,0.09242909,-1.0,-1.0
0.8335675,0.009165437,-1.0,-1.0
0.8289357,0.054699063,-1.0,-1.0
0.6401802,0.1737185,-1.0,-1.0
0.8289357,0.05469907,-1.0,-1.0
0.5823706,0.071755074,-1.0,-1.0
0.8335284,0.009165301,-1.0,-1.0
0.010981219,-0.02176032,-1.0,-1.0
0.8335676,0.009165858,-1.0,-1.0
0.63730925,0.08664497,-1.0,-1.0
0.5823706,0.071755074,-1.0,-1.0
0.7281925,-0.028106334,-0.9850672,-1.0
0.8289357,0.05469907,-1.0,-1.0
0.009790797,-0.020741204,-1.0,-1.0
0.013194384,-0.0018189882,-1.0,-1.0
0.7266843,-0.02227823,-0.9919717,-1.0
0.1404379,0.0014250197,-1.0,-1.0
0.8335675,0.009165437,-1.0,-1.0
0.17525822,0.002197197,-1.0,-1.0
0.8289357,0.05469907,-1.0,-1.0
0.7823573,0.030758716,-1.0,-1.0
0.8289359,0.05469877,-1.0,-1.0
0.53564703,0.124692395,-1.0,-1.0
0.5035022,0.20166828,-1.0,-1.0
0.72552943,0.17159715,-1.0,-1.0
0.010979969,-0.021771664,-1.0,-1.0
0.8335675,0.009165437,-1.0,-1.0
0.83803064,0.021288885,-1.0,-1.0
0.5500448,0.089240424,-1.0,-1.0
0.82893574,0.054698933,-1.0,-1.0
0.58519435,0.087100826,-1.0,-1.0
0.58433753,0.09242909,-1.0,-1.0
0.8335675,0.009165431,-1.0,-1.0
0.8289357,0.05469907,-1.0,-1.0
0.8289357,0.05469907,-1.0,-1.0
0.72443426,0.030283375,-1.0,-1.0
0.013194384,-0.0018189882,-1.0,-1.0
0.7869785,0.03077614,-1.0,-1.0
0.5888,0.18537258,-1.0,-1.0
0.72819257,-0.028106326,-0.9850672,-1.0
0.8289357,0.05469907,-1.0,-1.0
0.6401777,0.17371972,-1.0,-1.0
0.63717544,0.086699404,-1.0,-1.0
0.64017993,0.1737185,-1.0,-1.0
0.0053140074,-0.011339453,-1.0,-1.0
0.567118,0.15598716,-1.0,-1.0
0.8371895,0.017616967,-1.0,-1.0
0.5893273,0.18536553,-1.0,-1.0
0.833553,0.009165383,-1.0,-1.0
0.40601355,0.0061319675,-1.0,-1.0
0.58433753,0.09242909,-1.0,-1.0
0.010979969,-0.021771664,-1.0,-1.0
0.8335675,0.009165437,-1.0,-1.0
0.64023316,0.17372303,-1.0,-1.0
0.66568863,0.104487546,-1.0,-1.0
0.8289357,0.05469907,-1.0,-1.0
0.6400388,0.1731343,-1.0,-1.0
0.58517885,0.08751076,-1.0,-1.0
0.5843375,0.09242905,-1.0,-1.0
0.83353853,0.009165331,-1.0,-1.0
0.75377303,-0.06716446,-0.98114383,-1.0
0.8289398,0.054693263,-1.0,-1.0
0.7254895,0.17160593,-1.0,-1.0
0.8335675,0.009165437,-1.0,-1.0
0.570346,0.14969857,-1.0,-1.0
0.72443426,0.03028337,-1.0,-1.0
0.7255208,0.17159967,-1.0,-1.0
0.5823705,0.07175515,-1.0,-1.0
0.8289357,0.05469907,-1.0,-1.0
0.8081483,0.026376665,-0.8723956,-1.0
0.8335675,0.009165437,-1.0,-1.0
0.8289357,0.05469907,-1.0,-1.0
0.8335675,0.009165437,-1.0,-1.0
0.7013292,-0.05009328,-0.9381415,-1.0
0.5253093,0.14637758,-1.0,-1.0
0.8289357,0.05469907,-1.0,-1.0
0.66568816,0.10448716,-1.0,-1.0
0.58879554,0.1853604,-1.0,-1.0
0.6655749,0.105434656,-1.0,-1.0
0.8289357,0.05469907,-1.0,-1.0
0.01999472,0.015216547,-1.0,-1.0
0.72552747,0.17159861,-1.0,-1.0
0.8335675,0.009165437,-1.0,-1.0
0.50350237,0.20166855,-1.0,-1.0
0.010979969,-0.021771664,-1.0,-1.0
0.5253312,0.14612769,-1.0,-1.0
0.013219448,-0.0018182816,-1.0,-1.0
0.64017993,0.1737185,-1.0,-1.0
0.010979969,-0.021771664,-1.0,-1.0
0.8289357,0.05469907,-1.0,-1.0
0.58433056,0.09271336,-1.0,-1.0
0.8335675,0.009165437,-1.0,-1.0
0.5175391,0.15856943,-1.0,-1.0
0.5497448,0.08930576,-1.0,-1.0
0.5823706,0.07175508,-1.0,-1.0
0.8335675,0.009165437,-1.0,-1.0
0.58433753,0.09242909,-1.0,-1.0
0.6647639,0.024998683,-0.9476294,-1.0
0.72552854,0.17159842,-1.0,-1.0
0.5823706,0.071755074,-1.0,-1.0
0.6373083,0.08664877,-1.0,-1.0
0.5497064,0.08931406,-1.0,-1.0
0.7289629,0.030227186,-1.0,-1.0
0.64018816,0.17370722,-1.0,-1.0
0.8289357,0.05469907,-1.0,-1.0
0.013194384,-0.0018189882,-1.0,-1.0
0.72443426,0.03028337,-1.0,-1.0
0.013194384,-0.0018189882,-1.0,-1.0
0.013203302,-0.0018235026,-1.0,-1.0
0.58433723,0.09242969,-1.0,-1.0
0.5823706,0.071755074,-1.0,-1.0
0.8289357,0.05469907,-1.0,-1.0
0.8061688,0.029863859,-0.87947786,-1.0
0.72549456,0.17160507,-1.0,-1.0
0.72819245,-0.028106181,-0.9850674,-1.0
0.75377303,-0.06716444,-0.98114383,-1.0
0.63730806,0.08664974,-1.0,-1.0
0.8289357,0.05469907,-1.0,-1.0
0.58477473,0.09080136,-1.0,-1.0
0.8289357,0.05469907,-1.0,-1.0
0.8289357,0.05469907,-1.0,-1.0
0.5356471,0.12469238,-1.0,-1.0
0.8289357,0.05469907,-1.0,-1.0
0.72819257,-0.028106326,-0.9850672,-1.0
0.8335675,0.009165437,-1.0,-1.0
0.010979969,-0.021771664,-1.0,-1.0
0.64017993,0.1737185,-1.0,-1.0
0.5888,0.18537258,-1.0,-1.0
0.16680177,0.011941457,-1.0,-1.0
0.58430356,0.093639806,-1.0,-1.0
0.5253312,0.14612769,-1.0,-1.0
0.013194384,-0.0018189882,-1.0,-1.0
0.5663649,0.15721513,-1.0,-1.0
0.5823716,0.07175783,-1.0,-1.0
0.8289357,0.05469907,-1.0,-1.0
0.8109783,0.028418692,-0.8880585,-1.0
0.75309366,-0.06598769,-0.98187727,-1.0
0.8289357,0.05469907,-1.0,-1.0
0.8335675,0.009165437,-1.0,-1.0
0.5888,0.18537258,-1.0,-1.0
0.8289357,0.05469907,-1.0,-1.0
0.5823706,0.071755074,-1.0,-1.0
0.525332,0.14612725,-1.0,-1.0
0.013194384,-0.0018189882,-1.0,-1.0
0.7244348,0.030283371,-1.0,-1.0
0.8289357,0.05469907,-1.0,-1.0
0.8289357,0.05469907,-1.0,-1.0
0.010979969,-0.021771664,-1.0,-1.0
0.8289357,0.05469907,-1.0,-1.0
0.6529754,0.17465273,-1.0,-1.0
0.4945516,0.218692,-1.0,-1.0
0.8289357,0.05469907,-1.0,-1.0
0.6985633,0.049425203,-1.0,-1.0
0.006356504,-0.00840502,-1.0,-1.0
0.8335675,0.009165437,-1.0,-1.0
0.58237064,0.07175519,-1.0,-1.0
0.64017993,0.1737185,-1.0,-1.0
0.64018613,0.17371014,-1.0,-1.0
0.8289357,0.05469907,-1.0,-1.0
0.51027143,0.16567805,-1.0,-1.0
0.64017993,0.1737185,-1.0,-1.0
0.64017993,0.1737185,-1.0,-1.0
0.8289357,0.05469907,-1.0,-1.0
0.7261568,0.19630872,-1.0,-1.0
0.701373,-0.05027797,-0.9379272,-1.0
0.013194384,-0.0018189882,-1.0,-1.0
0.8289357,0.05469907,-1.0,-1.0
0.8075806,0.02644418,-0.8747992,-1.0
0.8335228,0.009168341,-1.0,-1.0
0.78695893,0.030776063,-1.0,-1.0
0.8289357,0.05469907,-1.0,-1.0
0.7282476,-0.027848953,-0.9855736,-1.0
0.58433753,0.09242909,-1.0,-1.0
0.5035022,0.20166828,-1.0,-1.0
0.8289357,0.05469907,-1.0,-1.0
0.74872595,-0.05913397,-0.98499626,-1.0
0.8335675,0.009165437,-1.0,-1.0
0.5823706,0.071755074,-1.0,-1.0
0.8289357,0.05469907,-1.0,-1.0
0.8335675,0.009165437,-1.0,-1.0
0.75377464,-0.06716469,-0.98113984,-1.0
0.5367129,0.12406176,-1.0,-1.0
0.7029905,0.07532188,-1.0,-1.0
0.64017993,0.1737185,-1.0,-1.0
0.010980487,-0.021771668,-1.0,-1.0
0.8383924,0.03079972,-1.0,-1.0
0.0131944455,-0.0018189957,-1.0,-1.0
0.58272296,0.072754875,-1.0,-1.0
0.64025277,0.17362028,-1.0,-1.0
0.010979969,-0.021771664,-1.0,-1.0
0.58433753,0.09242909,-1.0,-1.0
0.6401991,0.17369245,-1.0,-1.0
0.056265764,-0.021431556,-1.0,-1.0
0.8289357,0.05469907,-1.0,-1.0
0.6401798,0.17371856,-1.0,-1.0
0.72443426,0.03028337,-1.0,-1.0
0.010979969,-0.021771664,-1.0,-1.0
0.64017993,0.1737185,-1.0,-1.0
0.6215288,0.0908659,-1.0,-1.0
0.8289357,0.054699067,-1.0,-1.0
0.72552854,0.17159842,-1.0,-1.0
0.8289357,0.05469907,-1.0,-1.0
0.82893604,0.054698538,-1.0,-1.0
0.76162493,-0.050497543,-1.0,-1.0
0.010981657,-0.021771656,-1.0,-1.0
0.58433884,0.09242479,-1.0,-1.0
0.5823706,0.071755074,-1.0,-1.0
0.58433753,0.09242909,-1.0,-1.0
0.8289357,0.05469907,-1.0,-1.0
0.8289357,0.05469907,-1.0,-1.0
0.8335675,0.009165437,-1.0,-1.0
0.7537717,-0.06715605,-0.98117155,-1.0
0.013216978,-0.001818348,-1.0,-1.0
0.5823706,0.071755074,-1.0,-1.0
0.83356607,0.009165437,-1.0,-1.0
0.5505941,0.08911954,-1.0,-1.0
0.72443426,0.03028337,-1.0,-1.0
0.5887158,0.18548088,-1.0,-1.0
0.83356166,0.009165418,-1.0,-1.0
0.58433753,0.09242909,-1.0,-1.0
0.8289357,0.05469907,-1.0,-1.0
0.6332443,0.17700134,-1.0,-1.0
0.72820085,-0.028119704,-0.98507065,-1.0
0.83410066,0.010113743,-1.0,-1.0
0.58433753,0.09242909,-1.0,-1.0
0.72511303,0.028477494,-1.0,-1.0
0.72404426,0.17188129,-1.0,-1.0
0.58433753,0.09242909,-1.0,-1.0
0.49455178,0.21869172,-1.0,-1.0
0.5035229,0.20167519,-1.0,-1.0
0.78707683,0.030776523,-1.0,-1.0
0.72358495,0.032316595,-1.0,-1.0
0.5823705,0.07175508,-1.0,-1.0
0.7870797,0.030776525,-1.0,-1.0
0.015898725,-0.0017430265,-1.0,-1.0
0.8335675,0.009165437,-1.0,-1.0
0.55394506,0.009152311,-1.0,-1.0
0.64017993,0.1737185,-1.0,-1.0
0.5823706,0.071755074,-1.0,-1.0
0.75377303,-0.06716444,-0.9811438,-1.0
0.7244358,0.030283358,-1.0,-1.0
0.5823706,0.071755074,-1.0,-1.0
0.8335678,0.009165877,-1.0,-1.0
0.8289357,0.05469907,-1.0,-1.0
0.6373081,0.08664976,-1.0,-1.0
0.72443426,0.03028337,-1.0,-1.0
0.5663648,0.15721524,-1.0,-1.0
0.80817413,0.0263736,-0.87228614,-1.0
0.8335675,0.009165437,-1.0,-1.0
0.5253312,0.14612769,-1.0,-1.0
0.8341589,0.007724812,-1.0,-1.0
0.8289357,0.05469908,-1.0,-1.0
0.010979969,-0.021771664,-1.0,-1.0
0.8289357,0.05469907,-1.0,-1.0
0.72443426,0.03028337,-1.0,-1.0
0.58433753,0.09242909,-1.0,-1.0
0.5888446,0.18537208,-1.0,-1.0
0.58433753,0.09242909,-1.0,-1.0
0.82955503,0.053801842,-1.0,-1.0
0.7281925,-0.028106337,-0.9850672,-1.0
0.8289357,0.05469907,-1.0,-1.0
0.010979969,-0.021771664,-1.0,-1.0
0.80817324,0.02637369,-0.8722898,-1.0
0.5035022,0.20166832,-1.0,-1.0
0.013194222,-0.0018190907,-1.0,-1.0
0.5823706,0.071755074,-1.0,-1.0
0.7253377,0.17163567,-1.0,-1.0
0.5823706,0.071755074,-1.0,-1.0
0.5035022,0.20166828,-1.0,-1.0
0.28592342,0.0043336595,-1.0,-1.0
0.72443426,0.03028337,-1.0,-1.0
0.52981955,0.22308673,-1.0,-1.0
0.5888,0.18537258,-1.0,-1.0
0.72411746,0.19850592,-1.0,-1.0
0.5313813,0.1886082,-1.0,-1.0
0.8081743,0.026373563,-0.87228507,-1.0
