51 39 116 17 143 58 15 187 14 7 98 19 97 85 29 9 82 38 65 18 19 68 5 46 2 27 9 14 3 12 7 58 20 1 48 20 22 27 4 53 85 4 10 13 18 18 15 37 34 4 28 47 20 13 9 2 5 32 5 17 19 18 37 13 23 23 41 33 17 9 3 7 18 12 9 11 12 6 4 6 6 4 22 11 27 4 5 21 8 26 5 7 8 2 6 9 3 1 6 7 8 33 8 8 9 5 1 4 10 21 1 4 9 23 6 2 28 8 1 9 5 17 10 3 4 3 2 5 7 9 3 4 9 3 3 2 3 4 1 14 3 3 10 4 2 1 6 3 5 1 2 2 7 6 1 2 1 2 1 2 1 5 1 3 1 4 2 1 6 3 1 1 1 2 1 1 1 1 2 2 2 2 2 1 1 1 1 0 0 0 0 0
72 5 63 238 15 111 2 63 3 4 69 3 96 9 68 2 134 42 14 33 76 41 4 41 6 3 6 3 7 1 3 78 11 8 74 6 137 14 3 13 141 6 2 1 1 7 1 38 71 7 7 80 1 6 2 6 8 125 5 2 3 11 23 2 56 63 23 4 2 5 7 1 8 2 4 3 5 5 4 3 6 7 46 1 4 5 5 2 7 3 1 3 3 7 1 1 1 8 2 5 3 27 1 2 3 3 8 5 4 2 8 7 7 6 6 4 40 2 8 3 4 4 3 7 2 6 7 6 7 3 5 5 2 2 6 6 2 5 8 10 5 7 1 4 6 8 10 2 6 8 12 7 4 3 8 6 9 10 8 3 8 5 8 4 8 5 3 8 7 7 8 8 8 8 8 8 8 9 7 5 4 6 5 9 8 8 9 3 0 0 0 0
160 2 508 7 7 16 4 3 7 12 15 4 181 7 9 5 204 11 10 202 11 8 12 20 11 6 12 7 11 8 5 11 10 13 10 2 14 11 11 1 18 4 3 15 7 10 7 9 28 10 15 20 9 10 9 7 12 49 9 7 9 13 3 6 12 12 17 8 6 10 11 15 12 6 7 5 4 10 10 7 7 9 13 7 4 12 9 6 5 7 7 8 5 10 7 7 9 15 7 12 9 2 7 10 7 9 12 6 1 6 13 7 8 6 12 7 9 6 11 9 11 4 9 10 8 10 10 15 10 7 9 9 4 8 13 5 4 10 11 13 9 13 8 8 8 11 4 9 4 12 13 12 4 6 12 10 13 6 11 7 11 9 13 11 13 7 10 13 12 12 14 14 12 12 13 11 11 11 11 8 9 15 11 15 13 11 12 8 3 0 0 0
236 7 35 16 14 28 16 12 12 14 16 11 45 14 14 9 9 18 20 16 14 22 15 21 15 12 13 11 14 13 13 61 13 14 36 7 26 27 15 17 15 11 9 16 11 12 12 27 25 15 22 30 14 14 11 13 17 22 11 12 11 19 12 14 16 24 41 14 12 14 14 16 20 10 12 13 16 14 13 13 13 14 17 11 10 14 14 8 8 13 13 13 10 14 12 10 7 21 11 17 13 3 10 12 9 13 14 10 12 14 15 11 14 13 13 9 17 12 13 12 12 10 14 12 13 13 12 17 13 13 12 12 14 12 15 11 11 13 12 15 13 16 12 13 12 12 9 11 10 16 15 14 9 10 13 12 14 11 12 10 12 13 14 17 14 10 11 16 25 15 17 18 14 14 17 13 14 14 12 12 14 16 15 19 15 14 14 12 14 4 9 7
113 10 1 12 10 14 2 13 6 13 169 13 172 16 4 5 7 129 1 17 14 8 16 8 16 123 14 3 14 13 5 4 14 15 20 14 9 2 15 2 4 12 7 17 13 12 8 15 11 16 19 5 14 4 14 17 15 6 13 11 10 12 13 15 15 4 16 19 5 15 15 17 13 8 10 11 17 11 9 15 19 12 1 12 9 17 14 10 6 13 16 16 8 15 10 11 5 19 11 16 3 8 11 14 4 6 10 11 4 4 16 3 8 6 15 132 16 14 12 11 13 8 15 14 15 13 15 18 13 9 13 4 16 11 13 4 13 5 13 14 13 16 10 13 14 13 4 12 12 15 16 15 9 12 14 12 15 8 13 11 13 13 15 16 16 7 6 17 20 17 14 20 15 17 17 10 14 14 13 8 4 16 14 18 17 15 11 12 15 17 14 11
76 12 7 18 8 16 9 15 9 17 232 15 7 20 5 9 10 20 7 20 16 10 18 5 15 5 16 13 16 15 14 11 16 14 18 18 17 12 16 7 11 13 11 21 14 11 10 16 21 18 19 11 17 11 15 15 14 16 15 14 13 14 18 17 14 18 23 11 8 14 17 26 12 15 12 12 18 17 19 16 18 14 20 13 13 16 15 14 10 14 17 18 10 16 12 13 7 18 12 15 4 14 12 15 8 13 14 12 9 9 18 9 14 11 14 39 19 11 14 17 11 10 16 13 14 16 18 17 14 13 12 8 15 13 15 9 16 10 12 16 14 17 12 14 15 14 10 13 14 16 15 16 14 13 18 13 17 13 14 12 14 12 16 19 15 11 10 19 18 18 14 18 14 17 15 11 16 16 15 12 13 15 14 17 17 16 12 14 17 18 18 12
